run_ts_utc,market_interval,tickers,primary_ticker,forecast_horizon,start_date,end_date,n_train_samples,n_test_samples,n_features,arima_rmse,arima_mae,garch_rmse,garch_mae,dl_rmse,dl_mae,hybrid_rmse,hybrid_mae,residual_hybrid_rmse,residual_hybrid_mae,winner,shock_rows,execution_time_sec,combo_execution_time_sec,cumulative_execution_time_sec
2026-08-20 14:07:18,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0024799689454493,0.0014005987387157,0.0060351831232324,0.0053081863870666,0.0077119431161145,0.0061714856561591,0.0042128653484352,0.0033583880039382,0.0177394419574978,0.0133992498774173,HAR-RV,0,,,
2026-08-20 14:23:40,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0037680818236467,0.0018892155267494,0.0070548388478382,0.0060034511812828,0.0181155848258195,0.0155340699435199,0.009385390780993,0.0079497709218086,0.0037740547125172,0.0019260042045501,HAR-RV,0,,,
2026-08-20 14:42:21,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0046252760119922,0.0028159682695935,0.0099909696214046,0.0080395418524473,0.0348527998135139,0.020903365230157,0.0179090305179426,0.0108380986688021,0.0081021535700943,0.0050000737222071,HAR-RV,0,,,
2026-08-20 15:00:09,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0042209431960694,0.0021812051682129,0.0197059699864292,0.0167111232336546,0.0206620835549681,0.0170613949226457,0.0107804300667748,0.0089033920592356,0.0396435028889072,0.0153043758478746,HAR-RV,0,,,
2026-08-20 15:31:43,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0041873213391321,0.0029320916325846,0.006897036638162,0.0060890157217457,0.007529265384734,0.0062165038200647,0.0047896790783192,0.0038110424078254,0.00461173373643,0.0034614411921737,HAR-RV,0,,,
2026-08-20 15:49:50,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0067197236102755,0.0043133088542295,0.0080258467003846,0.0067563904814843,0.011496491012908,0.0101090955409096,0.0073707851362688,0.0059531680510877,0.0067350925254933,0.0043587453346219,HAR-RV,0,,,
2026-08-20 16:05:18,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0085541101914677,0.0058794773783384,0.0116726469097462,0.0094530522814196,0.0313305034640491,0.0234885764672982,0.0170445837754316,0.0128110796020883,0.0195803831146981,0.0110079292389703,HAR-RV,0,,,
2026-08-20 16:22:12,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,3,2020-01-01,2024-12-31,1436,360,10,0.0085634403789772,0.0055532598688871,0.0241565543016449,0.021826532999527,0.0503288121523045,0.034874577935616,0.0260343017171389,0.0184835083369133,0.0088462311341317,0.0063829748687788,HAR-RV,0,,,
2026-08-20 16:49:42,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0071769971345491,0.0052660990675519,0.0089713356144282,0.0080380053229194,0.0077464741716745,0.0060495707311326,0.0063973019596909,0.0047728809107235,0.0072232673342461,0.0052959631879865,Hybrid (ARIMA+DL),0,,,
2026-08-20 17:05:58,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0110296402992055,0.0076503416745332,0.0107549963115562,0.0092313979178752,0.0105033094440084,0.008771739089217,0.0093320846938237,0.0069183467631049,0.010995506853819,0.0076625744561637,Hybrid (ARIMA+DL),0,,,
2026-08-20 17:24:21,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0143720707466195,0.0101634464610534,0.0155090679698432,0.0125288300699857,0.0356572554446667,0.0226777681635353,0.0216700463428161,0.0145188587090701,0.0233486201393531,0.0148734508745424,HAR-RV,0,,,
2026-08-20 17:40:54,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,7,2020-01-01,2024-12-31,1433,359,10,0.0145276639132487,0.0104317955181772,0.0327146310750306,0.0302467543368709,0.0201479691889175,0.0175820104721536,0.0143666982399468,0.0125202473910979,0.0193358643095401,0.0147470498065694,HAR-RV,0,,,
2026-08-21 12:06:50,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,BTC-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0024799689454493,0.0014005987387157,0.0060351831232324,0.0053081863870666,0.0093834207522408,0.0079330108540657,0.0049902161195466,0.004184174023737,0.0024815602551018,0.0014063976457676,HAR-RV,0,,,
2026-08-21 12:25:03,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,ETH-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0037680818236467,0.0018892155267494,0.0070548388478382,0.0060034511812828,0.0105720873126723,0.009234385837661,0.0058890453327668,0.0048764210372253,0.0037814980794855,0.0019576849540384,HAR-RV,0,,,
2026-08-21 12:42:40,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,DOGE-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0046252760119922,0.0028159682695935,0.0099909696214046,0.0080395418524473,0.0254408531330328,0.016524583164801,0.0133664133865855,0.008764454843847,0.0047451655990554,0.0030674289892942,HAR-RV,0,,,
2026-08-21 13:02:16,1d,BTC-USD|ETH-USD|DOGE-USD|XRP-USD,XRP-USD,1,2020-01-01,2024-12-31,1438,360,10,0.0042209431960694,0.0021812051682129,0.0197059699864292,0.0167111232336546,0.0265928504355529,0.0218138838391302,0.0136815848153616,0.0112164600533674,0.0042983166249672,0.0023903336718782,HAR-RV,0,,,
